room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2818,3159,Private room,,Oostelijk Havengebied / Indische Buurt,87,5.0,2,1.0,87.0,3,52.365755,4.941419,2014-08-30 21:31:10.589
6243,3813,Private room,,Oostelijk Havengebied / Indische Buurt,126,4.5,4,1.0,72.0,2,52.379212,4.926324,2014-08-30 23:37:52.312
7231,18481,Private room,,Watergraafsmeer,13,5.0,3,1.0,84.0,1,52.345237,4.92104,2014-08-30 22:51:47.893
8061,21669,Entire home/apt,,De Baarsjes / Oud West,2,5.0,3,2.0,125.0,2,52.371093,4.856828,2014-08-31 00:09:35.412
15061,59297,Private room,,Westerpark,56,5.0,4,1.0,63.0,2,52.382685,4.87613,2014-08-31 02:08:14.031
15865,59484,Private room,,Centrum Oost,2,4.5,4,1.0,146.0,2,52.363786,4.893392,2014-08-31 02:55:03.445
20168,59484,Private room,,Centrum Oost,5,4.5,2,1.0,87.0,2,52.365087,4.893541,2014-08-31 01:50:36.166
22315,10378458,Entire home/apt,,Oud Oost,7,4.0,6,2.0,147.0,3,52.357946,4.916384,2014-08-30 22:24:58.034
25428,56142,Entire home/apt,,Centrum West,0,,3,1.0,147.0,14,52.373168,4.883239,2014-08-30 23:19:24.862
25488,106225,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,49,4.5,6,3.0,221.0,3,52.36501,4.943572,2014-08-31 00:34:46.827
27573,119217,Private room,,Centrum Oost,56,4.0,2,1.0,168.0,3,52.364293,4.897716,2014-08-31 01:25:54.777
27886,97647,Entire home/apt,,Centrum West,5,5.0,2,1.0,214.0,2,52.386727,4.892078,2014-08-31 02:40:34.492
28658,123414,Private room,,De Baarsjes / Oud West,179,4.5,4,1.0,88.0,2,52.374452,4.85798,2014-08-31 02:46:23.884
28871,124245,Private room,,Centrum Oost,1,5.0,2,1.0,110.0,2,52.366101,4.889528,2014-08-31 01:49:42.274
29051,124245,Private room,,Centrum Oost,63,4.5,1,1.0,81.0,2,52.366072,4.890999,2014-08-31 00:07:57.771
29217,125667,Private room,,Noord-West / Noord-Midden,129,4.5,4,1.0,133.0,1,52.349753,4.884765,2014-08-30 22:11:15.279
29346,126116,Entire home/apt,,Noord-West / Noord-Midden,3,5.0,2,3.0,169.0,2,52.354049,4.875217,2014-08-31 01:00:40.091
30431,131462,Entire home/apt,,Centrum Oost,4,4.5,2,1.0,147.0,3,52.363258,4.908473,2014-08-31 02:21:36.158
31080,133488,Entire home/apt,,Noord-West / Noord-Midden,10,5.0,4,3.0,221.0,4,52.351321,4.848383,2014-08-30 23:44:27.184
34357,148238,Entire home/apt,,Westerpark,4,5.0,4,3.0,162.0,1,52.393094,4.872935,2014-08-30 22:39:02.507
38266,164204,Entire home/apt,,Centrum West,156,5.0,3,1.0,140.0,3,52.374659,4.878833,2014-08-31 00:06:27.730
39688,170462,Entire home/apt,,Bos en Lommer,9,5.0,4,2.0,221.0,3,52.38019,4.854582,2014-08-30 21:40:42.040
41075,178227,Entire home/apt,,Bos en Lommer,23,4.5,4,2.0,99.0,2,52.383532,4.855511,2014-08-30 23:58:15.961
41125,178515,Entire home/apt,,Centrum West,49,4.5,2,1.0,162.0,2,52.378915,4.883205,2014-08-31 01:05:06.770
41321,179958,Entire home/apt,,De Baarsjes / Oud West,126,4.5,2,1.0,108.0,2,52.362494,4.872663,2014-08-30 23:46:03.709
42161,184354,Entire home/apt,,Watergraafsmeer,3,4.5,2,1.0,190.0,2,52.356875,4.946207,2014-08-31 01:20:49.298
42970,187580,Entire home/apt,,Centrum West,174,5.0,2,1.0,190.0,2,52.371398,4.886349,2014-08-31 02:14:58.111
42987,3813,Private room,,Oostelijk Havengebied / Indische Buurt,37,5.0,2,1.0,130.0,2,52.379679,4.9257,2014-08-31 02:36:19.305
43054,187861,Private room,,Watergraafsmeer,19,4.0,2,1.0,115.0,1,52.349887,4.935027,2014-08-30 22:28:42.601
43109,188098,Private room,,Centrum West,8,5.0,4,1.0,214.0,1,52.375368,4.889317,2014-08-30 23:41:04.250
43514,190115,Entire home/apt,,Centrum West,1,5.0,2,2.0,110.0,3,52.37097,4.88986,2014-08-31 02:57:07.495
43791,191482,Entire home/apt,,Centrum West,35,4.5,2,2.0,223.0,3,52.376561,4.899529,2014-08-30 21:49:17.721
43980,65041,Entire home/apt,,Noord-West / Noord-Midden,42,4.0,4,1.0,118.0,2,52.357456,4.861242,2014-08-31 01:56:37.121
44535,195859,Private room,,Slotervaart,60,4.0,5,1.0,184.0,2,52.348505,4.835035,2014-08-31 02:52:46.742
