room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13652637,28711830,Shared room,,Centrum West,6,3.5,2,1.0,129.0,,52.370448,4.888877,2016-12-28 09:13:02.105975
14571208,90276132,Shared room,,Westerpark,0,0.0,4,1.0,129.0,,52.390247,4.884712,2016-12-28 09:13:02.090559
14035280,20894443,Shared room,,Centrum Oost,10,5.0,2,1.0,54.0,,52.373046,4.903727,2016-12-28 09:12:57.493070
15005520,1210973,Shared room,,De Pijp / Rivierenbuurt,3,5.0,2,1.0,54.0,,52.352315,4.889594,2016-12-28 09:12:57.280175
16278245,24698579,Shared room,,Westerpark,0,0.0,1,1.0,229.0,,52.376017,4.874286,2016-12-28 09:12:53.428076
5020280,4059485,Shared room,,Oud Oost,2,0.0,2,1.0,199.0,,52.357346,4.912887,2016-12-28 09:12:52.030286
4913607,9617177,Shared room,,Oostelijk Havengebied / Indische Buurt,0,0.0,2,1.0,199.0,,52.362993,4.938926,2016-12-28 09:12:52.027823
736016,3839770,Shared room,,Centrum West,4,2.5,4,1.0,188.0,,52.377187,4.898136,2016-12-28 09:12:51.975333
5039124,5510025,Shared room,,Centrum Oost,0,0.0,1,1.0,157.0,,52.366899,4.925123,2016-12-28 09:12:51.136661
14217287,7490631,Shared room,,Centrum Oost,0,0.0,2,1.0,162.0,,52.36056,4.888896,2016-12-28 09:12:51.083987
7224239,15669633,Shared room,,De Baarsjes / Oud West,0,0.0,2,1.0,135.0,,52.37124,4.861365,2016-12-28 09:12:49.746659
13290800,18581881,Shared room,,Watergraafsmeer,3,5.0,4,1.0,140.0,,52.353624,4.942205,2016-12-28 09:12:49.744253
14011697,10346595,Shared room,,Watergraafsmeer,1,0.0,3,1.0,138.0,,52.338811,4.943592,2016-12-28 09:12:49.724913
11109461,10504458,Shared room,,Centrum Oost,1,0.0,1,1.0,107.0,,52.364917,4.910022,2016-12-28 09:12:47.897721
11471439,22011975,Shared room,,Centrum Oost,1,0.0,4,1.0,114.0,,52.372186,4.900322,2016-12-28 09:12:47.894053
944529,5113662,Shared room,,Geuzenveld / Slotermeer,22,4.5,2,1.0,84.0,,52.377581,4.819477,2016-12-28 09:12:47.484157
10176931,49180562,Shared room,,De Pijp / Rivierenbuurt,3,4.5,2,1.0,87.0,,52.356209,4.887491,2016-12-28 09:12:47.481478
10217597,8950308,Shared room,,Westerpark,14,4.5,2,1.0,102.0,,52.375829,4.86688,2016-12-28 09:12:47.471962
13898312,7814531,Shared room,,Centrum Oost,12,4.5,2,1.0,85.0,,52.362915,4.904365,2016-12-28 09:12:47.469390
12800486,14703083,Shared room,,Osdorp,5,5.0,2,1.0,92.0,,52.35521,4.79096,2016-12-28 09:12:47.466767
13230753,61248844,Shared room,,Noord-West / Noord-Midden,3,4.5,4,1.0,96.0,,52.350499,4.854383,2016-12-28 09:12:47.463936
12307757,7568413,Shared room,,De Baarsjes / Oud West,0,0.0,3,1.0,87.0,,52.359957,4.86077,2016-12-28 09:12:47.461244
12632110,35677252,Shared room,,Oud Noord,0,0.0,2,1.0,87.0,,52.391559,4.918873,2016-12-28 09:12:47.457898
6455099,13667948,Entire home/apt,,Noord-West / Noord-Midden,2,0.0,7,5.0,280.0,,52.338479,4.84811,2016-12-28 08:05:42.646899
5870618,19765075,Entire home/apt,,Bijlmer Oost,1,0.0,6,1.0,269.0,,52.32319,4.972298,2016-12-28 08:05:12.177239
13912800,82468936,Entire home/apt,,Buitenveldert / Zuidas,3,4.5,4,3.0,188.0,,52.325759,4.863611,2016-12-28 07:50:35.990439
11967067,54233656,Entire home/apt,,Noord-West / Noord-Midden,1,0.0,2,1.0,188.0,,52.355138,4.847021,2016-12-28 07:40:43.697006
16528748,58940587,Entire home/apt,,Westerpark,0,0.0,3,1.0,162.0,,52.389533,4.87608,2016-12-28 07:26:33.485150
5927221,8008550,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,0,0.0,3,2.0,145.0,,52.377228,4.947105,2016-12-28 07:08:32.336608
7163785,14785507,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,1,0.0,4,2.0,162.0,,52.376058,4.946268,2016-12-28 07:08:32.334360
13989968,43911726,Entire home/apt,,Ijburg / Eiland Zeeburg,3,5.0,4,2.0,150.0,,52.37464,4.968407,2016-12-28 07:08:29.851128
15975686,67946404,Entire home/apt,,Centrum West,2,0.0,4,2.0,145.0,,52.375088,4.893304,2016-12-28 07:07:41.136314
4346605,22563568,Entire home/apt,,De Aker / Nieuw Sloten,15,4.5,2,2.0,135.0,,52.349483,4.783225,2016-12-28 07:05:51.934131
648862,3255777,Entire home/apt,,De Baarsjes / Oud West,8,5.0,2,1.0,107.0,,52.362774,4.850646,2016-12-28 06:31:53.938365
14292644,6143309,Entire home/apt,,De Pijp / Rivierenbuurt,3,5.0,2,0.0,113.0,,52.353679,4.888055,2016-12-28 06:31:32.396321
11174598,16456577,Entire home/apt,,Oud Noord,5,4.5,4,2.0,117.0,,52.383359,4.920526,2016-12-28 06:04:45.347804
3253682,16456577,Entire home/apt,,Oud Noord,10,5.0,4,2.0,116.0,,52.386614,4.93044,2016-12-28 06:04:43.406240
16122068,3909250,Entire home/apt,,Osdorp,0,0.0,4,2.0,97.0,,52.348849,4.796047,2016-12-28 05:59:54.240553
15368825,22652479,Entire home/apt,,Bos en Lommer,0,0.0,2,0.0,91.0,,52.376953,4.845036,2016-12-28 05:55:55.473000
6657228,34843304,Entire home/apt,,Bijlmer Centrum,33,4.5,2,1.0,102.0,,52.324394,4.945171,2016-12-28 05:50:09.713848
2459307,12574181,Entire home/apt,,Watergraafsmeer,9,5.0,2,1.0,92.0,,52.350804,4.932359,2016-12-28 05:50:02.878363
13727930,39220615,Entire home/apt,,Bijlmer Oost,3,3.5,2,0.0,87.0,,52.314587,4.975385,2016-12-28 05:49:53.595230
2937740,15001125,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,18,5.0,2,1.0,97.0,,52.376245,4.929304,2016-12-28 05:35:10.486666
3644360,12788265,Entire home/apt,,Oud Noord,8,5.0,2,1.0,85.0,,52.386689,4.919761,2016-12-28 05:34:03.075501
16342596,2084430,Entire home/apt,,Oud Noord,0,0.0,2,1.0,87.0,,52.400602,4.914957,2016-12-28 05:32:35.907239
1734985,8163341,Entire home/apt,,Oud Noord,203,4.5,4,2.0,92.0,,52.387064,4.929939,2016-12-28 05:32:28.290268
15953445,89109739,Entire home/apt,,Buitenveldert / Zuidas,0,0.0,2,2.0,65.0,,52.328245,4.875633,2016-12-28 05:31:54.964659
6552914,34272370,Entire home/apt,,Watergraafsmeer,17,5.0,2,0.0,74.0,,52.338582,4.920627,2016-12-28 05:31:34.043691
12082536,64754441,Entire home/apt,,Watergraafsmeer,8,4.5,2,0.0,80.0,,52.338633,4.919377,2016-12-28 05:31:34.040905
10512906,24694864,Entire home/apt,,Watergraafsmeer,3,4.0,2,0.0,80.0,,52.340883,4.918908,2016-12-28 05:31:32.569360
14180378,85889158,Entire home/apt,,Oud Oost,1,0.0,2,1.0,80.0,,52.35829,4.922576,2016-12-28 05:31:32.552681
2032713,1488099,Entire home/apt,,De Baarsjes / Oud West,9,3.5,3,1.0,64.0,,52.360703,4.853418,2016-12-28 05:31:17.447750
3342050,16864699,Entire home/apt,,Centrum West,3,5.0,2,0.0,80.0,,52.377523,4.879744,2016-12-28 05:30:44.524859
14245271,86563211,Entire home/apt,,Buitenveldert / Zuidas,2,0.0,2,1.0,80.0,,52.332486,4.87133,2016-12-28 05:29:48.505724
13740534,16419683,Entire home/apt,,Centrum West,3,4.0,2,1.0,80.0,,52.381603,4.890745,2016-12-28 05:29:01.799075
9083622,47366530,Entire home/apt,,De Pijp / Rivierenbuurt,5,5.0,4,2.0,70.0,,52.356613,4.888638,2016-12-28 05:29:00.307977
14294490,73835613,Entire home/apt,,Watergraafsmeer,15,5.0,2,0.0,74.0,,52.339032,4.917803,2016-12-28 05:29:00.245226
7861803,30224489,Entire home/apt,,Watergraafsmeer,3,5.0,2,1.0,80.0,,52.33886,4.940663,2016-12-28 05:28:57.281058
12237180,50141700,Entire home/apt,,Watergraafsmeer,3,4.5,2,0.0,81.0,,52.350913,4.924357,2016-12-28 05:28:57.278830
7042321,35268128,Entire home/apt,,Watergraafsmeer,14,4.5,2,0.0,80.0,,52.339382,4.920095,2016-12-28 05:28:57.275554
2024223,6641152,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,0,0.0,4,3.0,80.0,,52.358408,4.939964,2016-12-28 05:28:49.962109
5708418,29595415,Entire home/apt,,Oud Oost,1,0.0,4,2.0,80.0,,52.361283,4.929313,2016-12-28 05:28:48.241636
15029440,93031362,Entire home/apt,,Watergraafsmeer,1,0.0,2,0.0,73.0,,52.339122,4.91847,2016-12-28 05:28:48.231158
1839132,6999042,Entire home/apt,,Oud Oost,6,4.5,4,2.0,80.0,,52.357308,4.92074,2016-12-28 05:28:46.504490
16140656,10690702,Entire home/apt,,Watergraafsmeer,1,0.0,2,0.0,65.0,,52.356552,4.948164,2016-12-28 05:28:43.202918
10323042,40279627,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,2,0.0,2,1.0,80.0,,52.361391,4.93595,2016-12-28 05:28:41.685060
7880299,41519829,Entire home/apt,,Bijlmer Oost,7,4.5,4,2.0,80.0,,52.32344,4.972191,2016-12-28 05:28:40.562819
12888992,70550446,Entire home/apt,,Westerpark,6,4.0,2,0.0,70.0,,52.377031,4.874801,2016-12-28 05:28:30.633958
4630306,17314787,Entire home/apt,,Noord West,6,5.0,2,2.0,80.0,,52.41703,4.882221,2016-12-28 05:28:30.618098
8131189,11593125,Entire home/apt,,Westerpark,3,4.0,2,1.0,80.0,,52.384298,4.873302,2016-12-28 05:28:30.606681
13228834,66621584,Entire home/apt,,Westerpark,7,4.5,2,1.0,80.0,,52.388418,4.887777,2016-12-28 05:28:29.047549
9231405,16033276,Entire home/apt,,De Baarsjes / Oud West,7,4.5,2,0.0,80.0,,52.373635,4.858509,2016-12-28 05:28:27.019357
12098879,64866261,Entire home/apt,,De Baarsjes / Oud West,8,5.0,2,1.0,80.0,,52.372363,4.861959,2016-12-28 05:28:26.996806
16077585,6999042,Entire home/apt,,Centrum West,0,0.0,2,1.0,80.0,,52.374105,4.881378,2016-12-28 05:28:26.893173
6980918,4816887,Entire home/apt,,Noord West,6,5.0,3,1.0,75.0,,52.416964,4.891143,2016-12-28 05:28:06.420991
