room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2818,3159,Private room,,Oostelijk Havengebied / Indische Buurt,106,5.0,2.0,1.0,82.0,3.0,52.365755,4.941419,2015-03-18 07:53:13.642
7231,18481,Private room,,Watergraafsmeer,19,4.5,4.0,1.0,67.0,2.0,52.346374,4.91972,2015-03-18 10:38:00.129
8061,21669,Entire home/apt,,De Baarsjes / Oud West,2,5.0,3.0,2.0,132.0,3.0,52.371207,4.857291,2015-03-18 13:27:19.984
9693,32366,Entire home/apt,,Centrum West,34,5.0,3.0,1.0,184.0,4.0,52.378017,4.892703,2015-03-18 18:04:21.735
15061,59297,Private room,,Westerpark,58,5.0,4.0,1.0,60.0,2.0,52.382685,4.87613,2015-03-18 17:44:45.322
20168,59484,Private room,,Centrum Oost,20,4.0,2.0,1.0,56.0,1.0,52.365087,4.893541,2015-03-18 17:05:35.316
20818,78857,Entire home/apt,,Centrum Oost,2,5.0,3.0,1.0,111.0,2.0,52.363184,4.899645,2015-03-18 11:30:17.882
22315,10378458,Entire home/apt,,Oud Oost,7,4.0,,2.0,139.0,3.0,52.357946,4.916384,2015-03-18 09:42:56.168
23651,9616,Private room,,De Pijp / Rivierenbuurt,36,5.0,3.0,1.0,111.0,6.0,52.345911,4.891983,2015-03-18 12:18:04.534
25428,56142,Entire home/apt,,Centrum West,0,,3.0,1.0,139.0,14.0,52.373168,4.883239,2015-03-18 11:36:30.618
25488,106225,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,67,4.5,,3.0,167.0,4.0,52.36501,4.943572,2015-03-18 14:22:06.442
25489,106241,Entire home/apt,,Centrum Oost,22,4.5,4.0,2.0,272.0,2.0,52.375314,4.903689,2015-03-18 14:25:13.968
27886,97647,Entire home/apt,,Centrum West,11,5.0,2.0,1.0,188.0,2.0,52.386727,4.892078,2015-03-18 18:50:24.907
28658,123414,Private room,,De Baarsjes / Oud West,217,4.5,2.0,1.0,84.0,2.0,52.374414,4.857963,2015-03-18 19:01:28.870
28871,124245,Private room,,Centrum Oost,3,5.0,2.0,1.0,105.0,2.0,52.366101,4.889528,2015-03-18 17:03:23.869
29051,124245,Private room,,Centrum Oost,91,4.5,1.0,1.0,77.0,2.0,52.366072,4.890999,2015-03-18 13:23:44.845
29217,125667,Entire home/apt,,Noord-West / Noord-Midden,139,4.5,4.0,2.0,251.0,1.0,52.349753,4.884765,2015-03-18 09:15:25.824
