room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
934060,5037506,Shared room,,Oostelijk Havengebied / Indische Buurt,58,4.5,16,1.0,428.0,,52.377552,4.930418,2017-03-27 18:22:45.794602
2985352,14921457,Shared room,,Centrum West,68,5.0,2,1.0,264.0,,52.366787,4.884415,2017-03-27 18:22:44.639949
2922214,14921457,Shared room,,Centrum Oost,118,5.0,2,1.0,234.0,,52.366698,4.885026,2017-03-27 18:22:44.637591
3722301,19015099,Shared room,,Centrum Oost,37,5.0,4,1.0,277.0,,52.363606,4.889527,2017-03-27 18:22:44.633664
5020280,4059485,Shared room,,Oud Oost,2,0.0,2,1.0,206.0,,52.357346,4.912887,2017-03-27 18:22:43.531338
10162121,4555726,Shared room,,Centrum Oost,8,5.0,4,1.0,200.0,,52.366271,4.896251,2017-03-27 18:22:43.528549
14217287,7490631,Shared room,,Centrum Oost,0,0.0,2,1.0,167.0,,52.36056,4.888896,2017-03-27 18:22:42.351964
6654255,15507949,Shared room,,Westerpark,3,5.0,4,1.0,156.0,,52.384357,4.87026,2017-03-27 18:22:42.349003
13290800,18581881,Shared room,,Watergraafsmeer,3,5.0,4,1.0,144.0,,52.353624,4.942205,2017-03-27 18:22:40.976891
14571208,90276132,Shared room,,Westerpark,0,0.0,4,1.0,134.0,,52.390247,4.884712,2017-03-27 18:22:40.974771
13652637,28711830,Shared room,,Centrum West,7,3.5,2,1.0,134.0,,52.370448,4.888877,2017-03-27 18:22:40.972163
2213734,11291814,Shared room,,Westerpark,108,5.0,4,1.0,125.0,,52.385022,4.881024,2017-03-27 18:22:40.967643
14011697,10346595,Shared room,,Watergraafsmeer,1,0.0,3,1.0,123.0,,52.338811,4.943592,2017-03-27 18:22:39.459325
11471439,22011975,Shared room,,Centrum Oost,1,0.0,4,1.0,117.0,,52.372186,4.900322,2017-03-27 18:22:39.456576
17646369,42822106,Shared room,,Centrum Oost,0,0.0,2,1.0,124.0,,52.360843,4.893219,2017-03-27 18:22:39.454059
15996605,56020810,Shared room,,De Pijp / Rivierenbuurt,3,3.5,4,1.0,100.0,,52.353308,4.906301,2017-03-27 18:22:38.500421
12800486,14703083,Shared room,,Osdorp,5,5.0,2,1.0,89.0,,52.35521,4.79096,2017-03-27 18:22:38.498011
9558007,49203589,Shared room,,Watergraafsmeer,27,4.0,6,1.0,95.0,,52.347097,4.92498,2017-03-27 18:22:38.495067
5921341,1687335,Shared room,,Noord-West / Noord-Midden,1,0.0,1,1.0,90.0,,52.355128,4.868575,2017-03-27 18:22:38.492823
13228066,31019071,Shared room,,Oostelijk Havengebied / Indische Buurt,5,4.5,2,1.0,94.0,,52.363559,4.937012,2017-03-27 18:22:38.490433
736016,3839770,Shared room,,Centrum West,6,3.5,4,1.0,102.0,,52.377187,4.898136,2017-03-27 18:22:38.487290
987355,5417945,Shared room,,Centrum West,104,4.5,2,1.0,89.0,,52.375745,4.892948,2017-03-27 18:22:38.482490
16426504,107684763,Shared room,,Bijlmer Oost,0,0.0,1,1.0,72.0,,52.322837,4.977616,2017-03-27 18:22:37.171320
14707836,91298016,Shared room,,Oostelijk Havengebied / Indische Buurt,1,0.0,2,1.0,78.0,,52.35983,4.941942,2017-03-27 18:22:37.169075
10176931,49180562,Shared room,,De Pijp / Rivierenbuurt,3,4.5,2,1.0,70.0,,52.356209,4.887491,2017-03-27 18:22:37.166838
15005520,1210973,Shared room,,De Pijp / Rivierenbuurt,3,5.0,2,1.0,72.0,,52.352315,4.889594,2017-03-27 18:22:37.164259
16849849,50525722,Shared room,,Westerpark,1,0.0,2,1.0,67.0,,52.381173,4.871812,2017-03-27 18:22:37.162208
12307757,7568413,Shared room,,De Baarsjes / Oud West,0,0.0,3,1.0,78.0,,52.359957,4.86077,2017-03-27 18:22:37.160087
17251107,10313535,Shared room,,Centrum West,0,0.0,1,1.0,67.0,,52.378051,4.886642,2017-03-27 18:22:37.157767
13875260,82079558,Shared room,,Centrum Oost,3,4.5,4,1.0,78.0,,52.364643,4.90745,2017-03-27 18:22:37.154591
14035280,20894443,Shared room,,Centrum Oost,15,5.0,2,1.0,67.0,,52.373046,4.903727,2017-03-27 18:22:37.152001
9703355,47264416,Shared room,,Oud Noord,28,4.5,4,1.0,44.0,,52.390899,4.939982,2017-03-27 18:22:35.356567
9060570,47264416,Shared room,,Oostelijk Havengebied / Indische Buurt,14,4.5,4,1.0,44.0,,52.378351,4.94113,2017-03-27 18:22:35.354188
11122903,13122312,Shared room,,Buitenveldert / Zuidas,3,4.0,2,1.0,44.0,,52.326648,4.870044,2017-03-27 18:22:35.351636
12314602,31766654,Shared room,,De Pijp / Rivierenbuurt,11,4.0,2,1.0,44.0,,52.349974,4.89961,2017-03-27 18:22:35.348965
5460803,15005273,Shared room,,Oud Oost,9,5.0,1,1.0,58.0,,52.355811,4.915091,2017-03-27 18:22:35.346026
8789423,46064520,Shared room,,De Baarsjes / Oud West,8,5.0,1,1.0,50.0,,52.367318,4.873858,2017-03-27 18:22:35.341653
14556560,52317866,Shared room,,Centrum West,6,4.5,2,1.0,44.0,,52.376803,4.880286,2017-03-27 18:22:35.338868
4054356,1882069,Shared room,,De Baarsjes / Oud West,93,4.5,1,1.0,57.0,,52.361549,4.864285,2017-03-27 18:22:35.336393
2964680,12027723,Shared room,,Bos en Lommer,32,4.5,2,1.0,56.0,,52.375398,4.847718,2017-03-27 18:22:35.329973
