room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
10176931,1476,49180562,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,7,4.5,2,1.0,,156.0,,Red Light/ Canal view apartment (Shared),2017-07-23 13:06:27.391699,52.356209,4.887491,0101000020E610000033FAD170CA8C13403BC5AA41982D4A40
8935871,1476,46718394,Shared room,,Amsterdam,,Centrum West,45,4.5,4,1.0,,126.0,,Sunny and Cozy Living room in quite neighbours,2017-07-23 13:06:23.607187,52.378518,4.89612,0101000020E6100000842A357BA095134042791F4773304A40
14011697,1476,10346595,Shared room,,Amsterdam,,Watergraafsmeer,1,0.0,3,1.0,,132.0,,Amsterdam,2017-07-23 13:06:23.603546,52.338811,4.943592,0101000020E6100000A51133FB3CC613403543AA285E2B4A40
6137978,1476,8685430,Shared room,,Amsterdam,,Centrum West,7,5.0,4,1.0,,121.0,,Canal boat RIDE in Amsterdam,2017-07-23 13:06:22.689787,52.376319,4.890028,0101000020E6100000DF180280638F134085EE92382B304A40
18630616,1476,70191803,Shared room,,Amsterdam,,De Baarsjes / Oud West,1,0.0,2,1.0,,93.0,,One room for rent in a three room appartment,2017-07-23 13:06:19.681469,52.370384,4.852873,0101000020E6100000CD902A8A57691340187B2FBE682F4A40
5790170,1476,29968916,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,184,4.5,2,1.0,,102.0,,Beautiful apartment,2017-07-23 13:06:19.663975,52.342265,4.897126,0101000020E6100000B090B932A896134060C8EA56CF2B4A40
934060,1476,5037506,Shared room,,Amsterdam,,Oostelijk Havengebied / Indische Buurt,67,5.0,16,1.0,,462.0,,"LOTUS, Classic Dutch Saling Barge ",2017-07-23 13:06:09.988016,52.377552,4.930418,0101000020E61000005D70067FBFB813400B45BA9F53304A40
19590049,1476,132687356,Shared room,,Amsterdam,,Westerpark,2,0.0,2,1.0,,414.0,,big boot Adam 04,2017-07-23 13:06:09.984748,52.375205,4.866117,0101000020E6100000DD09F65FE7761340D925AAB706304A40
5020280,1476,4059485,Shared room,,Amsterdam,,Oud Oost,2,0.0,2,1.0,,222.0,,Bright modern appartment in East!,2017-07-23 13:06:07.452609,52.357346,4.912887,0101000020E610000032C687D9CBA613409FAD8383BD2D4A40
15810783,1476,84978218,Shared room,,Amsterdam,,Centrum West,0,0.0,12,1.0,,301.0,,"CANAL BOATTOUR AMSTERDAM covered boat 1,5 hour",2017-07-23 13:06:07.447989,52.38661,4.890128,0101000020E6100000FB03E5B67D8F13403D27BD6F7C314A40
9188521,1476,29968916,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,26,5.0,4,1.0,,246.0,,Beautiful apartment!,2017-07-23 13:06:07.443359,52.342445,4.89695,0101000020E6100000BC96900F7A961340E0D6DD3CD52B4A40
10162121,1476,4555726,Shared room,,Amsterdam,,Centrum Oost,10,4.5,4,1.0,,198.0,,APARTMENT IN CENTER OF AMSTERDAM,2017-07-23 13:06:05.098304,52.366271,4.896251,0101000020E6100000790778D2C2951340923CD7F7E12E4A40
14217287,1476,7490631,Shared room,,Amsterdam,,Centrum Oost,0,0.0,2,1.0,,180.0,,Luxury room in renovated 17th century house,2017-07-23 13:06:01.700036,52.36056,4.888896,0101000020E61000004D2EC6C03A8E1340751F80D4262E4A40
19304350,1476,89256471,Shared room,,Amsterdam,,De Baarsjes / Oud West,1,0.0,2,1.0,,180.0,,Apartment city center,2017-07-23 13:06:01.697619,52.358221,4.85681,0101000020E6100000058BC3995F6D1340C6DE8B2FDA2D4A40
9060570,1476,47264416,Shared room,,Amsterdam,,Oostelijk Havengebied / Indische Buurt,15,4.0,4,1.0,,48.0,,sleeping schip Verandering R B&b 2,2017-07-23 13:05:45.752256,52.378351,4.94113,0101000020E61000004F232D95B7C3134057B439CE6D304A40
13797285,1476,12570608,Shared room,,Amsterdam,,Oostelijk Havengebied / Indische Buurt,2,0.0,1,1.0,,42.0,,Double super comfy sofa bed in A'dam Oost ;),2017-07-23 13:05:45.749306,52.365477,4.937313,0101000020E61000006C76A4FACEBF1340583849F3C72E4A40
8692643,1476,12950894,Shared room,,Amsterdam,,Geuzenveld / Slotermeer,3,4.0,1,1.0,,45.0,,Single boxspr bed in a living room.,2017-07-23 13:05:45.747052,52.379516,4.800987,0101000020E6100000A915A6EF353413408527F4FA93304A40
