room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
13520940,77669814,Entire home/apt,,Bos en Lommer,6,5.0,2,1.0,103.0,1.0,52.379205,4.857504,2016-08-05 03:24:27.481114
3883721,20081722,Entire home/apt,,Buitenveldert / Zuidas,11,5.0,2,1.0,126.0,2.0,52.343743,4.888437,2016-08-05 03:24:21.275814
4636051,16274382,Private room,,Oud Oost,22,4.5,3,1.0,98.0,2.0,52.357089,4.907156,2016-08-05 03:24:18.300462
12179618,65444081,Entire home/apt,,Slotervaart,10,4.5,5,2.0,114.0,1.0,52.367921,4.83803,2016-08-05 03:24:15.829510
12647913,13121972,Entire home/apt,,Westerpark,1,,2,1.0,173.0,2.0,52.37793,4.873038,2016-08-05 03:24:15.402014
7870568,4156586,Entire home/apt,,Oud Oost,18,4.5,2,1.0,126.0,2.0,52.354924,4.909149,2016-08-05 03:24:11.187876
3120537,14574533,Private room,,De Baarsjes / Oud West,2,,2,1.0,87.0,1.0,52.367105,4.860719,2016-08-05 03:24:09.458355
931270,4281750,Entire home/apt,,Noord-West / Noord-Midden,58,5.0,4,1.0,122.0,2.0,52.339582,4.847874,2016-08-05 03:24:01.477857
2465274,6498688,Entire home/apt,,De Pijp / Rivierenbuurt,2,,6,3.0,317.0,7.0,52.356474,4.898865,2016-08-05 03:23:58.321062
6968535,31240604,Private room,,Watergraafsmeer,5,3.5,2,1.0,93.0,1.0,52.35111,4.923381,2016-08-05 03:23:55.441111
6258741,10484870,Entire home/apt,,Westerpark,21,5.0,2,0.0,127.0,2.0,52.374136,4.871841,2016-08-05 03:23:52.902861
3452141,9102829,Private room,,Noord-West / Noord-Midden,28,4.5,2,1.0,64.0,2.0,52.351513,4.848413,2016-08-05 03:23:49.756358
5010214,4598967,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,6,4.5,2,1.0,115.0,2.0,52.36127,4.934822,2016-08-05 03:23:46.619946
8840501,25984010,Private room,,De Pijp / Rivierenbuurt,0,,2,1.0,115.0,2.0,52.351602,4.900119,2016-08-05 03:23:43.414551
9741620,47482075,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,6,5.0,2,1.0,98.0,,52.36208,4.942588,2016-08-05 03:23:42.865626
3672275,18640428,Entire home/apt,,Centrum Oost,10,4.5,2,1.0,80.0,6.0,52.375252,4.903329,2016-08-05 03:23:40.453496
9385505,25422855,Entire home/apt,,De Baarsjes / Oud West,0,,2,1.0,104.0,3.0,52.364245,4.863527,2016-08-05 03:23:37.381669
11655810,10245460,Private room,,Oud Oost,17,4.5,2,1.0,81.0,2.0,52.352523,4.916979,2016-08-05 03:23:34.157125
6229177,6830695,Entire home/apt,,Centrum West,16,5.0,4,2.0,384.0,1.0,52.368864,4.880712,2016-08-05 03:23:33.767085
6558807,33889984,Private room,,Bijlmer Centrum,60,4.0,2,1.0,68.0,1.0,52.318696,4.955932,2016-08-05 03:23:18.256845
11158946,44723950,Entire home/apt,,De Pijp / Rivierenbuurt,25,4.5,4,1.0,126.0,2.0,52.352855,4.889428,2016-08-05 03:23:14.201891
