room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6817113,1348,15507949,Shared room,,Amsterdam,,Westerpark,83,4.5,2,1.0,,77.0,,Relaxing Suite in Hotspot! With Cute Cats & Garden,2017-06-15 20:16:13.014601,52.384964,4.869911,0101000020E6100000FEB8FDF2C97A13409411178046314A40
9703355,1348,47264416,Shared room,,Amsterdam,,Oud Noord,28,4.5,4,1.0,,46.0,,sleeping schip Verandering R B&B,2017-06-15 20:16:09.867159,52.390899,4.939982,0101000020E61000008F5033A48AC2134001857AFA08324A40
4347291,1348,12950894,Shared room,,Amsterdam,,Geuzenveld / Slotermeer,18,4.5,1,1.0,,50.0,,Cosy sofa bed in a moderm flat,2017-06-15 20:16:09.864229,52.378635,4.80274,0101000020E6100000A0C37C79013613407C0F971C77304A40
4054356,1348,1882069,Shared room,,Amsterdam,,De Baarsjes / Oud West,108,4.5,1,1.0,,59.0,,Great location lovely studio shared with the hosts,2017-06-15 20:16:09.861505,52.361549,4.864285,0101000020E610000085B18520077513406473D53C472E4A40
3450158,1348,336950,Shared room,,Amsterdam,,Centrum West,1,0.0,6,1.0,,58.0,,Cruising on a boat with a local. No accommodation!,2017-06-15 20:16:09.858407,52.372306,4.897557,0101000020E6100000F92EA52E19971340630D17B9A72F4A40
18907741,1348,5687399,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,0,0.0,2,1.0,,57.0,,Couch to Crash in De Pijp,2017-06-15 20:16:09.856180,52.354475,4.892018,0101000020E6100000F8C5A52A6D911340F31FD26F5F2D4A40
12314602,1348,31766654,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,11,4.0,2,1.0,,46.0,,Simple sleeping place de Pijp,2017-06-15 20:16:09.852626,52.349974,4.89961,0101000020E6100000459E245D33991340A439B2F2CB2C4A40
11122903,1348,13122312,Shared room,,Amsterdam,,Buitenveldert / Zuidas,6,4.5,2,1.0,,46.0,,Amsterdam-South Cheerful Shared Apartment,2017-06-15 20:16:09.849944,52.326259,4.857729,0101000020E6100000B952CF82506E13404983DBDAC2294A40
14309046,1348,31168044,Shared room,,Amsterdam,,De Baarsjes / Oud West,55,4.5,2,1.0,,53.0,,Chez Eric - Stay inspired close to vondelpark!,2017-06-15 20:16:09.843573,52.360034,4.863982,0101000020E6100000A85489B2B77413405AB91798152E4A40
9088830,1348,47264416,Shared room,,Amsterdam,,Oud Noord,66,4.5,4,1.0,,46.0,,Sleep ship Verandering,2017-06-15 20:16:09.840738,52.39063,4.940112,0101000020E6100000014F5AB8ACC21340126BF12900324A40
5460803,1348,15005273,Shared room,,Amsterdam,,Oud Oost,9,5.0,1,1.0,,60.0,,Sofabed in apartment w/nice terrace,2017-06-15 20:16:09.838124,52.355811,4.915091,0101000020E6100000AC74779D0DA913404E4700378B2D4A40
18337741,1348,1352571,Shared room,,Amsterdam,,Bos en Lommer,6,4.5,1,1.0,,53.0,,WOMEN ONLY Cozy sofa + canal view in renovated apt,2017-06-15 20:16:09.827962,52.377693,4.850855,0101000020E6100000658D7A8846671340CD76853E58304A40
19243789,1348,47752678,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,0,0.0,1,1.0,,58.0,,Appartement Amsterdam Rivierenbuurt,2017-06-15 20:16:09.825670,52.347614,4.900029,0101000020E61000006CCEC133A1991340DDD0949D7E2C4A40
19308296,1348,32291829,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,0,0.0,1,1.0,,46.0,,Temporary room available,2017-06-15 20:16:09.823511,52.342185,4.908478,0101000020E6100000BD8A8C0E48A213404417D4B7CC2B4A40
2964680,1348,12027723,Shared room,,Amsterdam,,Bos en Lommer,39,4.5,2,1.0,,58.0,,Beautiful MasterBedroom in apartment with garden!,2017-06-15 20:16:09.820530,52.375398,4.847718,0101000020E610000010ECF82F10641340ED7DAA0A0D304A40
9537235,1348,45584652,Shared room,,Amsterdam,,Westerpark,1,0.0,1,1.0,,56.0,,Room in the center of Amsterdam,2017-06-15 20:16:09.817340,52.382128,4.87798,0101000020E6100000172B6A300D8313406571FF91E9304A40
18985831,1348,22542624,Shared room,,Amsterdam,,Buitenveldert / Zuidas,1,0.0,2,1.0,,58.0,,Comfortable double bedroom,2017-06-15 20:16:09.814271,52.3293,4.861808,0101000020E610000084B9DDCB7D72134052499D80262A4A40
