room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2818,3159,Private room,,Oostelijk Havengebied / Indische Buurt,102,5.0,2,1.0,84.0,3,52.365755,4.941419,2015-01-19 10:45:46.357
7231,18481,Private room,,Watergraafsmeer,17,4.5,3,1.0,91.0,2,52.345237,4.92104,2015-01-19 12:21:14.914
8061,21669,Entire home/apt,,De Baarsjes / Oud West,2,5.0,3,2.0,136.0,2,52.371093,4.856828,2015-01-19 14:02:12.785
15061,59297,Private room,,Westerpark,58,5.0,4,1.0,61.0,2,52.382685,4.87613,2015-01-19 16:25:24.219
20168,59484,Private room,,Centrum Oost,13,4.0,2,1.0,57.0,1,52.365087,4.893541,2015-01-19 16:03:47.954
20818,78857,Entire home/apt,,Centrum Oost,2,5.0,3,1.0,114.0,2,52.363184,4.899645,2015-01-19 12:54:33.896
22315,10378458,Entire home/apt,,Oud Oost,7,4.0,6,2.0,143.0,3,52.357946,4.916384,2015-01-19 11:50:21.806
23651,9616,Private room,,De Pijp / Rivierenbuurt,36,5.0,3,1.0,114.0,6,52.345911,4.891983,2015-01-19 13:20:30.503
25428,56142,Entire home/apt,,Centrum West,0,,3,1.0,143.0,14,52.373168,4.883239,2015-01-19 12:58:13.942
25488,106225,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,61,4.5,6,3.0,171.0,4,52.36501,4.943572,2015-01-19 14:33:08.451
27886,97647,Entire home/apt,,Centrum West,11,5.0,2,1.0,193.0,2,52.386727,4.892078,2015-01-19 17:03:11.750
28658,123414,Private room,,De Baarsjes / Oud West,207,4.5,2,1.0,86.0,2,52.374414,4.857963,2015-01-19 17:10:03.890
28871,124245,Private room,,Centrum Oost,2,5.0,2,1.0,107.0,2,52.366101,4.889528,2015-01-19 16:02:23.262
29051,124245,Private room,,Centrum Oost,85,4.5,1,1.0,79.0,2,52.366072,4.890999,2015-01-19 13:59:49.991
29217,125667,Entire home/apt,,Noord-West / Noord-Midden,137,4.5,4,2.0,257.0,1,52.349753,4.884765,2015-01-19 11:34:01.632
29554,127233,Entire home/apt,,Centrum West,63,5.0,2,1.0,186.0,3,52.38051,4.894189,2015-01-19 13:45:48.590
30431,131462,Entire home/apt,,Centrum Oost,5,5.0,2,1.0,171.0,3,52.363258,4.908473,2015-01-19 16:40:25.263
31080,133488,Entire home/apt,,Noord-West / Noord-Midden,12,5.0,4,3.0,257.0,4,52.351321,4.848383,2015-01-19 13:28:28.755
34357,148238,Entire home/apt,,Westerpark,7,5.0,4,3.0,184.0,4,52.393094,4.872935,2015-01-19 12:05:54.529
38266,164204,Entire home/apt,,Centrum West,172,5.0,3,1.0,136.0,3,52.374659,4.878833,2015-01-19 13:57:52.610
41075,178227,Entire home/apt,,Bos en Lommer,26,4.5,4,2.0,96.0,2,52.383532,4.855511,2015-01-19 13:47:38.055
41321,179958,Entire home/apt,,De Baarsjes / Oud West,139,4.5,2,1.0,121.0,4,52.362494,4.872663,2015-01-19 13:30:54.948
42161,184354,Entire home/apt,,Watergraafsmeer,3,4.5,2,1.0,184.0,2,52.356875,4.946207,2015-01-19 15:27:26.424
42908,187417,Entire home/apt,,De Pijp / Rivierenbuurt,7,5.0,2,1.0,178.0,2,52.347334,4.889431,2015-01-19 14:53:42.665
42970,187580,Entire home/apt,,Centrum West,204,5.0,2,1.0,184.0,2,52.369616,4.888087,2015-01-19 16:32:56.367
43054,187861,Private room,,Watergraafsmeer,27,4.0,2,1.0,104.0,1,52.349887,4.935027,2015-01-19 11:54:31.479
43109,188098,Entire home/apt,,Centrum West,12,5.0,4,2.0,228.0,1,52.375368,4.889317,2015-01-19 13:24:18.828
43514,190115,Entire home/apt,,Centrum West,1,5.0,2,2.0,107.0,3,52.37097,4.88986,2015-01-19 17:24:00.129
43791,191482,Entire home/apt,,Centrum West,46,4.5,2,2.0,187.0,3,52.376561,4.899529,2015-01-19 11:07:16.657
43980,65041,Entire home/apt,,Noord-West / Noord-Midden,46,4.0,4,1.0,114.0,2,52.357456,4.861242,2015-01-19 16:10:56.281
44095,193099,Entire home/apt,,De Baarsjes / Oud West,78,5.0,2,1.0,193.0,3,52.370131,4.8719,2015-01-19 12:22:25.199
44129,187728,Entire home/apt,,Centrum West,131,5.0,2,1.0,286.0,1,52.380711,4.886104,2015-01-19 13:17:49.523
44535,195859,Private room,,Slotervaart,65,4.0,5,1.0,178.0,2,52.348505,4.835035,2015-01-19 17:18:55.524
44805,197355,Private room,,Oostelijk Havengebied / Indische Buurt,103,4.5,3,1.0,121.0,2,52.360895,4.946367,2015-01-19 10:52:36.806
45125,199266,Entire home/apt,,Centrum Oost,55,5.0,2,1.0,193.0,3,52.374026,4.903189,2015-01-19 12:34:12.732
45618,202748,Entire home/apt,,Westerpark,71,5.0,4,2.0,129.0,3,52.388918,4.886309,2015-01-19 12:01:31.897
45704,203202,Private room,,De Baarsjes / Oud West,135,4.5,2,1.0,67.0,3,52.369283,4.853328,2015-01-19 14:20:56.184
45995,77950,Private room,,Centrum West,121,4.5,2,1.0,114.0,3,52.376986,4.88549,2015-01-19 15:18:12.482
47061,211696,Entire home/apt,,De Baarsjes / Oud West,108,5.0,3,2.0,143.0,5,52.367986,4.874469,2015-01-19 16:26:07.120
47333,213960,Entire home/apt,,Centrum West,35,4.5,5,,193.0,3,52.368471,4.892625,2015-01-19 16:49:35.089
48149,219460,Entire home/apt,,De Pijp / Rivierenbuurt,104,4.5,2,1.0,152.0,3,52.352,4.89842,2015-01-19 11:15:48.467
49247,224516,Entire home/apt,,Centrum West,1,5.0,2,1.0,370.0,3,52.373413,4.891824,2015-01-19 13:15:37.350
49552,225987,Entire home/apt,,Centrum West,134,5.0,8,3.0,428.0,1,52.379246,4.890227,2015-01-19 14:33:35.386
49790,227530,Entire home/apt,,De Baarsjes / Oud West,68,5.0,3,2.0,250.0,3,52.362664,4.861032,2015-01-19 14:05:00.063
50089,229241,Entire home/apt,,De Baarsjes / Oud West,191,4.5,2,1.0,57.0,2,52.374798,4.860951,2015-01-19 15:14:53.939
50263,230246,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,106,5.0,4,2.0,214.0,2,52.371374,4.93305,2015-01-19 13:02:47.520
50523,231946,Private room,,Centrum West,24,5.0,2,1.0,143.0,2,52.36932,4.882582,2015-01-19 13:08:36.328
50570,232321,Entire home/apt,,Bos en Lommer,75,4.5,5,1.0,113.0,3,52.377588,4.849057,2015-01-19 14:23:57.641
51667,237840,Entire home/apt,,De Baarsjes / Oud West,76,5.0,3,1.0,150.0,5,52.368818,4.868602,2015-01-19 16:22:59.438
51969,15618,Entire home/apt,,De Pijp / Rivierenbuurt,3,5.0,3,2.0,143.0,7,52.357483,4.8871,2015-01-19 10:45:34.258
52038,240194,Entire home/apt,,Noord-West / Noord-Midden,5,4.5,5,2.0,200.0,2,52.354795,4.886071,2015-01-19 12:35:44.968
53067,246493,Entire home/apt,,De Pijp / Rivierenbuurt,93,4.5,2,1.0,113.0,2,52.353393,4.900638,2015-01-19 12:45:12.076
53233,247625,Entire home/apt,,Ijburg / Eiland Zeeburg,2,5.0,4,2.0,186.0,3,52.359676,4.980809,2015-01-19 17:08:54.786
53671,247822,Private room,,Westerpark,115,4.5,2,1.0,107.0,2,52.389053,4.885589,2015-01-19 15:11:25.933
53692,246493,Private room,,De Pijp / Rivierenbuurt,70,4.5,4,1.0,103.0,2,52.353483,4.90049,2015-01-19 15:45:31.368
53693,246493,Entire home/apt,,De Pijp / Rivierenbuurt,103,4.5,2,1.0,113.0,2,52.354414,4.900071,2015-01-19 15:47:11.696
54237,240194,Private room,,De Pijp / Rivierenbuurt,2,4.5,3,1.0,141.0,1,52.354623,4.886924,2015-01-19 16:37:25.339
