room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
6137978,1224,8685430,Shared room,,Amsterdam,,Centrum West,7,5.0,4,1.0,,112.0,,Canal boat RIDE in Amsterdam,2017-05-12 17:34:59.541383,52.376319,4.890028,0101000020E6100000DF180280638F134085EE92382B304A40
934060,1224,5037506,Shared room,,Amsterdam,,Oostelijk Havengebied / Indische Buurt,67,5.0,16,1.0,,431.0,,"LOTUS, Classic Dutch Saling Barge ",2017-05-12 17:34:54.646106,52.377552,4.930418,0101000020E61000005D70067FBFB813400B45BA9F53304A40
5020280,1224,4059485,Shared room,,Amsterdam,,Oud Oost,2,0.0,2,1.0,,207.0,,Bright modern appartment in East!,2017-05-12 17:34:53.057746,52.357346,4.912887,0101000020E610000032C687D9CBA613409FAD8383BD2D4A40
2926009,1224,823948,Shared room,,Amsterdam,,Centrum Oost,14,5.0,3,1.0,,279.0,,Penthouse apartment at Amstel river,2017-05-12 17:34:53.054809,52.368457,4.898461,0101000020E610000003ED0E2906981340BB7D5699292F4A40
6803889,1224,35617650,Shared room,,Amsterdam,,Noord-West / Noord-Midden,92,5.0,4,1.0,,224.0,,Apt.(55m2)classic city souterain.,2017-05-12 17:34:53.051787,52.3511,4.85915,0101000020E6100000006F8104C56F134014D044D8F02C4A40
3722301,1224,19015099,Shared room,,Amsterdam,,Centrum Oost,39,5.0,4,1.0,,279.0,,Luxury apartment. Prime location,2017-05-12 17:34:53.048278,52.363606,4.889527,0101000020E6100000CFA2772AE08E13408F5033A48A2E4A40
10162121,1224,4555726,Shared room,,Amsterdam,,Centrum Oost,8,5.0,4,1.0,,202.0,,APARTMENT IN CENTER OF AMSTERDAM,2017-05-12 17:34:52.325038,52.366271,4.896251,0101000020E6100000790778D2C2951340923CD7F7E12E4A40
10737579,1224,29196697,Shared room,,Amsterdam,,De Pijp / Rivierenbuurt,9,5.0,2,1.0,,145.0,,Peaceful place in the pijp (near all the museums),2017-05-12 17:34:50.828691,52.351553,4.887683,0101000020E610000055DCB8C5FC8C1340C5E74EB0FF2C4A40
12087517,1224,64787463,Shared room,,Amsterdam,,Centrum West,26,4.5,4,1.0,,168.0,,Spacious loft in heart of the city,2017-05-12 17:34:50.826321,52.373093,4.885433,0101000020E61000005932C7F2AE8A1340EAAEEC82C12F4A40
17677548,1224,46364554,Shared room,,Amsterdam,,Noord-West / Noord-Midden,5,5.0,2,1.0,,151.0,,Penthouse with spa-grade bathroom and big terrace,2017-05-12 17:34:50.820686,52.351055,4.858396,0101000020E6100000A1116C5CFF6E1340740CC85EEF2C4A40
14217287,1224,7490631,Shared room,,Amsterdam,,Centrum Oost,0,0.0,2,1.0,,168.0,,Luxury room in renovated 17th century house,2017-05-12 17:34:50.817308,52.36056,4.888896,0101000020E61000004D2EC6C03A8E1340751F80D4262E4A40
13652637,1224,28711830,Shared room,,Amsterdam,,Centrum West,7,3.5,2,1.0,,157.0,,Amazing Centrally Located B&B #2,2017-05-12 17:34:50.814205,52.370448,4.888877,0101000020E610000097AAB4C5358E13402F6F0ED76A2F4A40
13290800,1224,18581881,Shared room,,Amsterdam,,Watergraafsmeer,3,5.0,4,1.0,,145.0,,2 bedrooms in a nice apartment with roof terrace.,2017-05-12 17:34:50.811228,52.353624,4.942205,0101000020E6100000BF823463D1C41340558A1D8D432D4A40
6654255,1224,15507949,Shared room,,Amsterdam,,Westerpark,3,5.0,4,1.0,,157.0,,Cozy App. Close to Centre with Garden& Cute Cats!,2017-05-12 17:34:50.808034,52.384357,4.87026,0101000020E61000005E11FC6F257B13408D7E349C32314A40
14571208,1224,90276132,Shared room,,Amsterdam,,Westerpark,0,0.0,4,1.0,,134.0,,"City center of A'dam; 2 bedrooms,bathroom,terrace",2017-05-12 17:34:49.098939,52.390247,4.884712,0101000020E6100000D88349F1F18913405A2E1B9DF3314A40
2213734,1224,11291814,Shared room,,Amsterdam,,Westerpark,118,5.0,4,1.0,,126.0,,Nassau Apartment Amsterdam,2017-05-12 17:34:49.094719,52.385022,4.881024,0101000020E6100000E4F6CB272B861340C91EA16648314A40
18385218,1224,7526326,Shared room,,Amsterdam,,Slotervaart,0,0.0,4,1.0,,112.0,,Light and spacious apartment with 3 bedrooms,2017-05-12 17:34:48.202393,52.363551,4.844699,0101000020E61000000ADB4FC6F8601340CCB6D3D6882E4A40
11471439,1224,22011975,Shared room,,Amsterdam,,Centrum Oost,1,0.0,4,1.0,,118.0,,Beautiful studio with 2 sofa's,2017-05-12 17:34:48.199460,52.372186,4.900322,0101000020E61000002D7AA702EE991340B80375CAA32F4A40
14011697,1224,10346595,Shared room,,Amsterdam,,Watergraafsmeer,1,0.0,3,1.0,,124.0,,Amsterdam,2017-05-12 17:34:48.197175,52.338811,4.943592,0101000020E6100000A51133FB3CC613403543AA285E2B4A40
5896822,1224,30626083,Shared room,,Amsterdam,,Watergraafsmeer,14,4.5,3,1.0,,111.0,,Garden apartment next to houseboat,2017-05-12 17:34:48.192744,52.333282,4.906812,0101000020E61000003E7B2E5393A01340382C0DFCA82A4A40
8490817,1224,44718293,Shared room,,Amsterdam,,Centrum West,22,5.0,2,1.0,,117.0,,Sleeping on a houseboat,2017-05-12 17:34:48.187140,52.376056,4.893506,0101000020E61000007E1EA33CF392134077BB5E9A22304A40
9558007,1224,49203589,Shared room,,Amsterdam,,Watergraafsmeer,27,4.0,6,1.0,,95.0,,Super charming and spacious home !!,2017-05-12 17:34:47.006610,52.347097,4.92498,0101000020E6100000FAD005F52DB3134015C5ABAC6D2C4A40
12800486,1224,14703083,Shared room,,Amsterdam,,Osdorp,5,5.0,2,1.0,,90.0,,Private room-shared apartment space,2017-05-12 17:34:47.002792,52.35521,4.79096,0101000020E6100000D2C6116BF1291340289B7285772D4A40
736016,1224,3839770,Shared room,,Amsterdam,,Centrum West,8,3.5,4,1.0,,103.0,,AmsterHouse B&B,2017-05-12 17:34:46.998827,52.377187,4.898136,0101000020E6100000E770ADF6B0971340F9BCE2A947304A40
18152605,1224,124800933,Shared room,,Amsterdam,,De Baarsjes / Oud West,2,0.0,1,1.0,,100.0,,"Close to city centre, nearby famous Kinkerstraat",2017-05-12 17:34:46.996037,52.36579,4.859095,0101000020E6100000E4A08499B66F1340179AEB34D22E4A40
987355,1224,5417945,Shared room,,Amsterdam,,Centrum West,117,4.5,2,1.0,,90.0,,Nice Room in Centre Amsterdam,2017-05-12 17:34:46.993082,52.375745,4.892948,0101000020E61000004B1DE4F5609213405951836918304A40
18630616,1224,70191803,Shared room,,Amsterdam,,De Baarsjes / Oud West,0,0.0,2,1.0,,84.0,,One room for rent in a three room appartment,2017-05-12 17:34:46.990105,52.370384,4.852873,0101000020E6100000CD902A8A57691340187B2FBE682F4A40
