room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
3090435,14404049,Entire home/apt,,De Baarsjes / Oud West,7,5.0,2,1.0,126.0,3.0,52.371768,4.871334,2016-06-01 06:42:32.602194
743637,3327797,Entire home/apt,,Centrum West,1,,2,1.0,229.0,2.0,52.383925,4.893192,2016-06-01 06:42:20.471386
7097242,35449652,Entire home/apt,,Centrum Oost,9,4.5,2,1.0,166.0,2.0,52.360206,4.892463,2016-06-01 06:42:15.878106
6116739,31734565,Entire home/apt,,Centrum West,30,5.0,2,0.0,114.0,3.0,52.372676,4.898817,2016-06-01 06:42:09.045895
10258795,1266717,Entire home/apt,,Centrum Oost,12,5.0,4,1.0,114.0,2.0,52.37094,4.907083,2016-06-01 06:42:02.956340
1945837,10064959,Private room,,Westerpark,19,4.0,2,1.0,92.0,,52.373563,4.875156,2016-06-01 06:42:01.661003
3969637,20572774,Private room,,Westerpark,40,4.5,2,1.0,108.0,2.0,52.381079,4.869279,2016-06-01 06:41:54.633472
10762011,55648788,Entire home/apt,,De Baarsjes / Oud West,2,,4,2.0,286.0,,52.365775,4.87541,2016-06-01 06:41:43.300594
3702687,4339474,Entire home/apt,,Bos en Lommer,1,,3,0.0,114.0,2.0,52.374848,4.841018,2016-06-01 06:41:35.011947
8041712,42466487,Entire home/apt,,De Pijp / Rivierenbuurt,4,5.0,2,1.0,167.0,3.0,52.351624,4.896346,2016-06-01 06:41:21.161951
9638910,49846450,Entire home/apt,,Centrum West,1,,2,0.0,149.0,4.0,52.375907,4.891203,2016-06-01 06:41:19.884423
9612335,2339287,Entire home/apt,,Centrum Oost,3,4.5,5,2.0,175.0,4.0,52.361738,4.904016,2016-06-01 06:41:17.908007
5998167,31140233,Entire home/apt,,Bijlmer Oost,24,4.5,2,1.0,74.0,9.0,52.323389,4.97438,2016-06-01 06:41:07.078560
8824848,1015297,Entire home/apt,,Westerpark,9,4.5,2,1.0,98.0,,52.374155,4.874673,2016-06-01 06:41:04.034959
8819606,46200693,Entire home/apt,,De Pijp / Rivierenbuurt,0,,2,1.0,172.0,3.0,52.356736,4.896089,2016-06-01 06:41:01.333716
11267106,4630778,Entire home/apt,,Oud Oost,2,,3,2.0,137.0,2.0,52.355422,4.911597,2016-06-01 06:40:57.769265
12827226,62649828,Entire home/apt,,De Pijp / Rivierenbuurt,0,,2,1.0,149.0,3.0,52.357654,4.897193,2016-06-01 06:40:50.667365
9870071,1266717,Entire home/apt,,Centrum Oost,4,5.0,4,1.0,194.0,,52.364025,4.899783,2016-06-01 06:40:41.175898
7301862,33229761,Entire home/apt,,Bos en Lommer,0,,2,1.0,97.0,2.0,52.3796,4.855812,2016-06-01 06:40:36.127969
2469007,12627558,Entire home/apt,,De Baarsjes / Oud West,25,5.0,4,2.0,343.0,3.0,52.370181,4.866877,2016-06-01 06:40:34.974006
2859916,6999042,Entire home/apt,,Noord-West / Noord-Midden,6,4.5,6,3.0,143.0,3.0,52.343837,4.857816,2016-06-01 06:40:27.886121
9249635,38245513,Entire home/apt,,De Pijp / Rivierenbuurt,1,,4,2.0,251.0,4.0,52.355209,4.894997,2016-06-01 06:40:18.849863
12200614,52390138,Entire home/apt,,Centrum West,2,,2,1.0,105.0,2.0,52.385162,4.885361,2016-06-01 06:40:13.189332
11887436,1324659,Entire home/apt,,De Pijp / Rivierenbuurt,4,5.0,4,3.0,286.0,,52.357637,4.902421,2016-06-01 06:39:54.407978
12205686,12684615,Entire home/apt,,Oud Oost,2,,2,1.0,102.0,1.0,52.36143,4.926507,2016-06-01 06:39:54.271475
6626284,33038971,Entire home/apt,,Westerpark,8,5.0,2,1.0,126.0,2.0,52.381323,4.86979,2016-06-01 06:39:44.876253
7830034,41145780,Entire home/apt,,De Pijp / Rivierenbuurt,1,,2,2.0,171.0,3.0,52.352888,4.895765,2016-06-01 06:39:26.315701
7055905,37007380,Private room,,Osdorp,11,5.0,1,1.0,58.0,1.0,52.366558,4.804347,2016-06-01 06:39:19.370125
4789843,24687454,Entire home/apt,,Westerpark,103,4.5,2,1.0,113.0,1.0,52.376965,4.8733,2016-06-01 06:39:15.589398
6322509,16564306,Entire home/apt,,De Pijp / Rivierenbuurt,3,5.0,3,2.0,160.0,2.0,52.356912,4.902057,2016-06-01 06:39:12.029139
12646536,52006198,Private room,,Centrum Oost,1,,3,1.0,172.0,1.0,52.366809,4.897677,2016-06-01 06:39:05.924605
12502905,67703613,Entire home/apt,,Ijburg / Eiland Zeeburg,1,,4,2.0,149.0,7.0,52.353076,4.998907,2016-06-01 06:39:03.999964
5892161,21035710,Entire home/apt,,De Baarsjes / Oud West,6,4.5,2,1.0,114.0,2.0,52.358882,4.855949,2016-06-01 06:38:57.470687
11597499,61230478,Entire home/apt,,De Pijp / Rivierenbuurt,1,,4,2.0,171.0,2.0,52.357493,4.90271,2016-06-01 06:38:56.934479
7339309,3699058,Entire home/apt,,Centrum Oost,9,5.0,6,3.0,624.0,1.0,52.367676,4.898492,2016-06-01 06:38:53.611459
3819867,19646426,Entire home/apt,,De Pijp / Rivierenbuurt,30,4.5,2,1.0,92.0,4.0,52.343633,4.897143,2016-06-01 06:38:49.867884
736016,3839770,Shared room,,Centrum West,3,2.5,4,1.0,201.0,3.0,52.377187,4.898136,2016-06-01 06:38:47.245931
12619145,14087004,Entire home/apt,,Westerpark,4,4.5,2,1.0,82.0,3.0,52.384097,4.873714,2016-06-01 06:38:25.554372
7796512,662439,Entire home/apt,,Oud Oost,10,5.0,4,3.0,126.0,3.0,52.364075,4.924999,2016-06-01 06:38:22.610146
5892596,13763415,Entire home/apt,,Centrum Oost,26,5.0,2,1.0,161.0,2.0,52.36217,4.903927,2016-06-01 06:38:08.304077
3209240,10258350,Entire home/apt,,De Pijp / Rivierenbuurt,4,5.0,2,1.0,125.0,3.0,52.356597,4.887881,2016-06-01 06:17:24.386294
12110035,27413083,Private room,,Oostelijk Havengebied / Indische Buurt,6,5.0,2,1.0,85.0,3.0,52.375881,4.924488,2016-06-01 06:17:23.782682
