room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
2818,3159,Private room,,Oostelijk Havengebied / Indische Buurt,77,5.0,2,1.0,90.0,3,52.365755,4.941419,2014-05-24 14:44:31.832
6243,3813,Private room,,Oostelijk Havengebied / Indische Buurt,116,4.5,4,1.0,75.0,2,52.379212,4.926324,2014-05-24 17:16:02.491
15061,59297,Private room,,Westerpark,53,5.0,4,1.0,66.0,2,52.382685,4.87613,2014-05-24 20:01:54.098
15865,59484,Private room,,Centrum Oost,1,5.0,4,1.0,151.0,3,52.363786,4.893392,2014-05-24 21:52:07.540
20168,59484,Private room,,Centrum Oost,4,4.0,2,1.0,90.0,3,52.365087,4.893541,2014-05-24 20:36:24.643
20522,77484,Entire home/apt,,De Pijp / Rivierenbuurt,139,4.5,2,1.0,92.0,2,52.354818,4.888065,2014-05-24 15:46:47.530
22315,10378458,Entire home/apt,,Oud Oost,6,4.0,6,2.0,153.0,3,52.357946,4.916384,2014-05-24 15:48:44.487
23651,9616,Private room,,De Pijp / Rivierenbuurt,36,5.0,3,1.0,122.0,6,52.345911,4.891983,2014-05-24 17:16:35.801
25488,106225,Entire home/apt,,Oostelijk Havengebied / Indische Buurt,46,4.5,6,3.0,229.0,3,52.36501,4.943572,2014-05-24 18:25:26.164
27573,119217,Private room,,Centrum Oost,53,4.5,2,1.0,174.0,3,52.364293,4.897716,2014-05-24 22:09:41.484
27886,97647,Entire home/apt,,Centrum West,4,5.0,2,1.0,222.0,2,52.386727,4.892078,2014-05-24 20:01:26.468
28658,123414,Private room,,De Baarsjes / Oud West,161,4.5,4,1.0,92.0,2,52.374452,4.85798,2014-05-24 21:02:09.018
28871,124245,Private room,,Centrum Oost,1,5.0,2,1.0,115.0,2,52.366101,4.889528,2014-05-24 20:58:18.583
29051,124245,Private room,,Centrum Oost,58,5.0,1,1.0,84.0,2,52.366072,4.890999,2014-05-24 17:51:03.075
29217,125667,Private room,,Noord-West / Noord-Midden,110,4.5,4,1.0,138.0,1,52.350371,4.885696,2014-05-24 15:31:22.158
29346,126116,Entire home/apt,,Noord-West / Noord-Midden,3,4.5,2,3.0,176.0,2,52.354049,4.875217,2014-05-24 20:31:08.585
29554,127233,Entire home/apt,,Centrum West,41,5.0,2,1.0,168.0,2,52.38051,4.894189,2014-05-24 17:38:21.410
30431,131462,Entire home/apt,,Centrum Oost,3,5.0,2,1.0,138.0,3,52.363258,4.908473,2014-05-24 20:51:14.922
31080,133488,Entire home/apt,,Noord-West / Noord-Midden,7,5.0,4,3.0,229.0,4,52.351321,4.848383,2014-05-24 17:24:03.449
33127,143614,Entire home/apt,,Slotervaart,2,5.0,3,1.0,136.0,2,52.347627,4.825405,2014-05-24 17:23:00.348
34357,148238,Entire home/apt,,Westerpark,3,5.0,4,3.0,151.0,3,52.393094,4.872935,2014-05-24 16:05:18.349
38266,164204,Entire home/apt,,Centrum West,141,5.0,3,1.0,145.0,3,52.374659,4.878833,2014-05-24 17:49:26.714
39688,170462,Entire home/apt,,Bos en Lommer,8,5.0,4,2.0,138.0,3,52.38019,4.854582,2014-05-24 14:54:46.770
41075,178227,Entire home/apt,,Bos en Lommer,19,4.5,4,2.0,102.0,2,52.383532,4.855511,2014-05-24 17:39:58.374
41091,178294,Entire home/apt,,Ijburg / Eiland Zeeburg,11,5.0,5,2.0,214.0,3,52.363368,4.986962,2014-05-24 18:03:59.265
41125,178515,Entire home/apt,,Centrum West,45,5.0,2,1.0,168.0,2,52.378915,4.883205,2014-05-24 21:22:01.949
42161,184354,Entire home/apt,,Watergraafsmeer,3,4.5,2,1.0,197.0,2,52.356875,4.946207,2014-05-24 21:59:24.833
42987,3813,Private room,,Oostelijk Havengebied / Indische Buurt,36,5.0,2,1.0,135.0,2,52.379679,4.9257,2014-05-24 20:50:24.482
43006,187716,Entire home/apt,,Oud Oost,11,4.0,2,1.0,115.0,4,52.3553,4.919165,2014-05-24 21:24:27.598
43054,187861,Private room,,Watergraafsmeer,11,4.5,2,1.0,121.0,1,52.349887,4.935027,2014-05-24 15:53:41.380
43109,188098,Private room,,Centrum West,8,4.5,4,1.0,222.0,1,52.375368,4.889317,2014-05-24 17:20:02.049
43514,190115,Entire home/apt,,Centrum West,1,5.0,2,2.0,115.0,3,52.37097,4.88986,2014-05-24 21:57:38.216
43791,191482,Entire home/apt,,Centrum West,29,4.5,2,2.0,184.0,3,52.376561,4.899529,2014-05-24 15:06:50.926
43980,65041,Entire home/apt,,Noord-West / Noord-Midden,39,4.0,4,1.0,122.0,2,52.357456,4.861242,2014-05-24 21:07:06.405
44095,193099,Entire home/apt,,De Baarsjes / Oud West,58,5.0,2,1.0,206.0,3,52.370131,4.8719,2014-05-24 16:21:08.896
44129,187728,Entire home/apt,,Centrum West,105,5.0,2,1.0,229.0,1,52.380711,4.886104,2014-05-24 17:13:30.808
44535,195859,Private room,,Slotervaart,56,4.0,5,1.0,191.0,2,52.348505,4.835035,2014-05-24 21:48:37.806
44805,197355,Private room,,Oostelijk Havengebied / Indische Buurt,93,4.5,3,1.0,104.0,2,52.360895,4.946367,2014-05-24 14:50:27.555
45125,199266,Entire home/apt,,Centrum Oost,32,5.0,2,1.0,206.0,3,52.374026,4.903189,2014-05-24 16:31:01.190
45618,202748,Entire home/apt,,Westerpark,62,4.5,4,2.0,184.0,2,52.388918,4.886309,2014-05-24 15:59:54.688
45704,203202,Private room,,De Baarsjes / Oud West,97,4.5,2,1.0,90.0,2,52.369283,4.853328,2014-05-24 18:11:58.841
45995,77950,Private room,,Centrum West,108,4.5,2,1.0,122.0,3,52.377631,4.884385,2014-05-24 21:02:12.996
46132,204442,Entire home/apt,,De Pijp / Rivierenbuurt,10,4.5,2,1.0,129.0,4,52.350899,4.899361,2014-05-24 16:03:46.113
46386,207342,Entire home/apt,,De Pijp / Rivierenbuurt,2,4.5,2,1.0,184.0,3,52.35247,4.908254,2014-05-24 15:59:59.415
47061,211696,Entire home/apt,,De Baarsjes / Oud West,91,5.0,3,2.0,145.0,2,52.367986,4.874469,2014-05-24 21:28:00.832
47333,213960,Entire home/apt,,Centrum West,29,4.5,5,,206.0,3,52.368471,4.892625,2014-05-24 21:15:32.766
47505,215355,Entire home/apt,,Noord-West / Noord-Midden,33,4.5,6,1.0,153.0,2,52.351921,4.886316,2014-05-24 20:15:09.450
47514,215418,Entire home/apt,,Centrum West,64,4.5,2,1.0,184.0,3,52.367767,4.89233,2014-05-24 20:21:19.715
48076,219080,Entire home/apt,,Centrum West,16,5.0,6,3.0,398.0,4,52.378646,4.894417,2014-05-24 21:29:13.698
48149,219460,Entire home/apt,,De Pijp / Rivierenbuurt,77,5.0,2,1.0,147.0,3,52.35306,4.898837,2014-05-24 15:14:41.149
49247,224516,Entire home/apt,,Centrum West,0,,2,1.0,274.0,3,52.373413,4.891824,2014-05-24 17:10:53.279
49552,225987,Entire home/apt,,Centrum West,88,5.0,8,3.0,457.0,1,52.379246,4.890227,2014-05-24 18:26:01.482
49790,227530,Entire home/apt,,De Baarsjes / Oud West,58,5.0,3,2.0,268.0,3,52.362664,4.861032,2014-05-24 17:55:51.688
50089,229241,Private room,,De Baarsjes / Oud West,156,4.5,2,1.0,76.0,2,52.374798,4.860951,2014-05-24 22:19:19.511
50263,230246,Entire home/apt,,Centrum Oost,73,5.0,4,2.0,229.0,2,52.370481,4.932266,2014-05-24 16:58:21.882
50515,231864,Entire home/apt,,Bos en Lommer,2,,6,4.0,184.0,1,52.377272,4.839253,2014-05-24 16:51:47.064
50523,231946,Private room,,Centrum West,20,5.0,2,1.0,153.0,2,52.36932,4.882582,2014-05-24 17:04:05.226
50570,232321,Entire home/apt,,Bos en Lommer,64,4.5,5,1.0,121.0,3,52.377588,4.849057,2014-05-24 18:14:49.564
51862,229120,Entire home/apt,,Centrum Oost,16,4.5,4,2.0,199.0,4,52.371826,4.921517,2014-05-24 20:30:41.818
52038,240194,Entire home/apt,,Noord-West / Noord-Midden,4,4.0,5,2.0,214.0,2,52.354795,4.886071,2014-05-24 16:32:49.460
52490,185836,Private room,,Oostelijk Havengebied / Indische Buurt,20,5.0,2,1.0,115.0,3,52.370046,4.938691,2014-05-24 14:58:37.698
53067,246493,Entire home/apt,,De Pijp / Rivierenbuurt,67,4.5,2,1.0,121.0,3,52.353393,4.900638,2014-05-24 16:40:33.625
53671,247822,Private room,,Westerpark,93,4.5,2,1.0,115.0,2,52.389053,4.885589,2014-05-24 20:16:25.232
53692,246493,Private room,,De Pijp / Rivierenbuurt,45,4.5,4,1.0,138.0,3,52.353483,4.90049,2014-05-24 21:52:03.809
53693,246493,Entire home/apt,,De Pijp / Rivierenbuurt,86,4.5,2,1.0,121.0,4,52.354414,4.900071,2014-05-24 21:17:37.857
54237,240194,Private room,,De Pijp / Rivierenbuurt,1,4.5,3,1.0,151.0,1,52.354623,4.886924,2014-05-24 20:57:04.473
54783,208915,Entire home/apt,,Noord-West / Noord-Midden,37,5.0,3,1.0,229.0,2,52.357037,4.884083,2014-05-24 21:46:15.633
55621,262846,Entire home/apt,,De Pijp / Rivierenbuurt,6,5.0,4,2.0,191.0,3,52.353859,4.897721,2014-05-24 16:31:21.048
55709,263233,Entire home/apt,,De Pijp / Rivierenbuurt,29,5.0,3,1.0,151.0,3,52.357004,4.898811,2014-05-24 21:19:30.609
55807,263844,Private room,,De Baarsjes / Oud West,57,5.0,2,1.0,107.0,2,52.369657,4.862025,2014-05-24 20:09:48.045
55868,264178,Entire home/apt,,Noord-West / Noord-Midden,42,5.0,4,2.0,151.0,2,52.357407,4.884911,2014-05-24 16:16:22.745
55947,264754,Entire home/apt,,Centrum Oost,36,4.5,4,1.0,214.0,5,52.365047,4.885255,2014-05-24 18:16:37.305
