Rank	City	Cost of Living Index	Rent Index	Cost of Living Plus Rent Index	Groceries Index	Restaurant Price Index	Local Purchasing Power Index
1	Zurich, Switzerland	141.25	66.14	105.03	149.86	135.76	142.70
2	Geneva, Switzerland	134.83	71.70	104.38	138.98	129.74	130.96
3	Basel, Switzerland	130.68	49.68	91.61	127.54	127.22	139.01
4	Bern, Switzerland	128.03	43.57	87.30	132.70	119.48	112.71
5	Lausanne, Switzerland	127.50	52.32	91.24	126.59	132.12	127.95
6	Reykjavik, Iceland	123.78	57.25	91.70	118.15	133.19	88.95
7	Stavanger, Norway	118.61	39.83	80.61	106.09	143.54	118.14
8	Lugano, Switzerland	118.24	52.91	86.73	117.74	122.30	119.86
9	Oslo, Norway	117.23	49.28	84.46	112.42	124.09	102.94
10	Trondheim, Norway	114.22	42.39	79.58	103.50	134.76	108.29
11	Bergen, Norway	112.31	40.30	77.58	101.79	119.61	99.29
12	Copenhagen, Denmark	97.62	50.66	74.97	77.53	121.23	113.31
13	Luxembourg, Luxembourg	95.37	61.59	79.08	82.71	109.61	127.42
14	Paris, France	92.87	50.30	72.34	87.29	91.77	97.62
15	Limerick, Ireland	92.73	27.71	61.37	87.15	82.93	93.93
16	Arhus, Denmark	91.90	34.82	64.37	71.50	102.82	109.47
17	Aalborg, Denmark	91.17	26.81	60.13	73.79	101.14	106.35
18	Stockholm, Sweden	90.85	45.27	68.87	84.06	93.71	108.20
19	Montpellier, France	90.63	24.95	58.95	86.93	75.13	74.25
20	Dublin, Ireland	89.92	62.13	76.52	73.62	95.64	88.11
21	Linz, Austria	89.33	29.43	60.44	84.03	88.05	95.13
22	Amsterdam, Netherlands	89.14	58.22	74.23	70.13	95.20	101.70
23	London, United Kingdom	88.69	76.67	82.89	67.36	96.36	92.61
24	Antwerp, Belgium	88.20	28.06	59.19	79.12	101.67	90.18
25	Helsinki, Finland	87.77	40.52	64.98	73.82	96.50	113.87
26	Grenoble, France	87.73	25.07	57.51	88.71	79.04	115.70
27	Tampere, Finland	87.20	28.89	59.08	73.89	96.76	111.28
28	Florence, Italy	86.90	31.81	60.34	76.28	87.67	66.09
29	Nice, France	86.69	31.64	60.14	78.82	98.75	107.04
30	Milton Keynes, United Kingdom	86.28	37.34	62.68	85.31	81.71	90.17
31	Bath, United Kingdom	85.79	37.62	62.56	78.47	83.51	117.98
32	Reading, United Kingdom	85.56	40.91	64.03	71.32	95.36	130.18
33	Leuven, Belgium	85.31	29.48	58.38	79.81	86.88	92.44
34	Gent, Belgium	85.16	26.92	57.07	72.20	94.01	96.27
35	Milan, Italy	85.10	43.65	65.11	75.56	92.27	71.94
36	Genoa, Italy	85.04	21.49	54.39	74.03	83.87	71.66
37	The Hague (Den Haag), Netherlands	84.97	35.55	61.14	70.25	89.11	106.25
38	Munich, Germany	84.78	46.46	66.30	72.97	82.46	118.19
39	Lyon, France	84.47	28.04	57.26	77.74	79.13	101.17
40	Gothenburg, Sweden	84.38	30.46	58.38	77.45	91.06	112.10
41	Brussels, Belgium	83.65	35.76	60.55	72.55	96.10	104.35
42	Utrecht, Netherlands	83.34	40.23	62.55	68.39	97.89	105.90
43	Aberdeen, United Kingdom	83.18	32.13	58.56	67.23	99.29	115.94
44	Cambridge, United Kingdom	82.96	47.33	65.78	67.22	95.67	105.39
45	Cork, Ireland	82.89	39.97	62.19	67.32	91.87	105.57
46	Toulouse, France	82.85	24.97	54.94	77.86	82.38	113.77
47	Rotterdam, Netherlands	82.64	35.28	59.80	63.02	94.81	102.03
48	Dusseldorf, Germany	82.48	36.34	60.23	65.69	74.97	114.50
49	Turku, Finland	82.18	25.55	54.87	69.79	88.89	125.14
50	Padova, Italy	81.77	23.89	53.85	67.49	78.91	77.42
51	Frankfurt, Germany	81.65	37.59	60.40	66.85	81.18	142.76
52	Hamburg, Germany	80.75	33.61	58.02	64.85	77.19	116.06
53	Parma, Italy	80.69	25.04	53.85	71.96	87.40	84.79
54	Maastricht, Netherlands	80.69	33.35	57.86	70.13	81.68	105.35
55	Graz, Austria	80.59	24.94	53.75	78.18	65.21	106.41
56	Galway, Ireland	80.22	34.58	58.21	70.90	81.75	100.11
57	Portsmouth, United Kingdom	80.05	32.23	56.99	62.19	89.21	94.57
58	Malmo, Sweden	79.79	28.57	55.09	73.61	87.62	120.92
59	Uppsala, Sweden	79.70	28.42	54.97	70.45	87.61	119.75
60	Lund, Sweden	79.39	27.07	54.16	75.30	80.06	122.80
61	Oxford, United Kingdom	79.37	53.29	66.79	62.18	81.92	86.68
62	Edinburgh, United Kingdom	79.20	34.60	57.69	69.30	89.29	104.25
63	Bologna, Italy	79.04	26.08	53.50	70.14	85.23	76.44
64	Sliema, Malta	78.94	36.17	58.32	69.30	89.20	74.89
65	Rome, Italy	78.80	40.24	60.20	68.34	85.32	72.78
66	Eindhoven, Netherlands	78.72	35.20	57.73	63.05	88.51	119.87
67	Vienna, Austria	78.64	35.04	57.61	73.80	73.39	98.88
68	Lille, France	78.34	24.70	52.47	65.77	74.43	89.56
69	York, United Kingdom	77.98	29.69	54.69	68.51	85.11	110.55
70	Trieste, Italy	77.97	21.54	50.76	72.67	80.97	90.05
71	Bristol, United Kingdom	77.83	40.01	59.59	63.13	92.62	108.18
72	Bergamo, Italy	77.71	22.05	50.87	64.43	91.76	89.37
73	Heidelberg, Germany	77.30	37.21	57.96	61.01	75.28	133.23
74	Manchester, United Kingdom	77.15	30.87	54.83	63.07	85.92	98.91
75	Mannheim, Germany	76.97	27.25	52.99	61.07	73.50	156.77
76	Groningen, Netherlands	76.64	30.91	54.59	66.99	87.82	105.46
77	Brighton, United Kingdom	76.40	44.89	61.21	58.61	86.71	83.51
78	Nottingham, United Kingdom	75.98	24.80	51.30	65.92	75.29	107.61
79	Karlsruhe, Germany	75.80	23.89	50.76	57.26	80.60	136.82
80	Coventry, United Kingdom	75.72	26.45	51.96	64.04	71.27	133.86
81	Norwich, United Kingdom	75.40	25.34	51.26	58.53	81.10	89.95
82	Turin, Italy	74.94	23.25	50.01	61.62	76.26	85.62
83	Leeds, United Kingdom	74.92	30.31	53.41	61.69	91.99	109.59
84	Stuttgart, Germany	74.53	34.86	55.40	55.57	72.07	134.02
85	Berlin, Germany	74.32	33.54	54.65	60.74	65.57	114.09
86	Sheffield, United Kingdom	74.31	25.05	50.55	56.87	84.47	110.96
87	Glasgow, United Kingdom	74.30	28.12	52.03	61.85	79.52	124.11
88	Palma De Mallorca, Spain	74.08	24.40	50.12	62.90	71.61	80.26
89	Cologne, Germany	74.02	29.75	52.67	55.97	73.95	131.06
90	Bonn, Germany	73.61	29.24	52.21	55.00	70.68	118.12
91	Bremen, Germany	73.41	22.22	48.72	59.15	70.25	131.14
92	Bilbao, Spain	73.30	30.28	52.55	65.27	75.33	92.96
93	Exeter, United Kingdom	73.17	31.86	53.24	58.28	82.78	86.66
94	Nuremberg, Germany	72.57	25.08	49.67	55.83	71.58	127.52
95	Leipzig, Germany	72.40	20.19	47.22	54.51	64.82	91.69
96	Aachen, Germany	71.81	24.48	48.99	57.78	64.67	128.79
97	Birmingham, United Kingdom	71.60	29.57	51.33	57.06	79.83	106.25
98	Cardiff, United Kingdom	71.52	28.32	50.69	65.68	72.66	109.78
99	Southampton, United Kingdom	71.48	33.09	52.97	58.97	76.00	116.26
100	Dresden, Germany	71.22	22.95	47.94	56.07	59.77	105.93
101	Naples, Italy	71.14	19.85	46.41	66.45	63.10	59.99
102	Darmstadt, Germany	70.17	30.69	51.13	53.91	66.60	145.86
103	Newcastle Upon Tyne, United Kingdom	69.91	25.69	48.58	54.05	78.46	127.40
104	Barcelona, Spain	69.75	33.71	52.37	59.29	65.07	77.27
105	Marseille, France	69.66	23.92	47.60	61.91	69.58	104.22
106	Liverpool, United Kingdom	69.53	24.96	48.04	52.24	78.55	116.18
107	Hanover, Germany	69.47	22.04	46.59	58.88	64.04	160.86
108	Belfast, United Kingdom	68.77	23.70	47.04	61.07	79.19	103.27
109	Derby, United Kingdom	68.68	21.48	45.92	58.52	71.55	110.83
110	Malta, Malta	68.44	26.60	48.26	54.11	69.00	72.13
111	Madrid, Spain	67.63	33.41	51.13	56.59	70.41	96.36
112	Ljubljana, Slovenia	65.47	20.62	43.84	54.76	57.70	74.70
113	Zaragoza (Saragossa), Spain	65.40	15.21	41.20	54.76	60.66	77.87
114	Thessaloniki, Greece	64.94	11.57	39.20	52.32	61.77	48.72
115	Athens, Greece	64.67	13.97	40.22	51.34	64.82	52.86
116	Martin, Slovakia	61.04	20.80	41.63	56.66	51.89	44.36
117	Tallinn, Estonia	60.51	17.66	39.84	45.31	61.04	74.02
118	Valencia, Spain	60.33	20.61	41.17	50.92	56.84	90.71
119	Sevilla, Spain	60.16	21.15	41.35	52.11	58.14	81.43
120	Split, Croatia	59.05	13.74	37.20	50.46	55.16	53.22
121	Rijeka, Croatia	58.54	12.29	36.24	49.63	46.70	51.41
122	Zagreb, Croatia	58.00	15.39	37.45	49.52	46.65	64.19
123	Lisbon, Portugal	57.69	29.33	44.01	47.02	50.14	58.48
124	Patras, Greece	57.35	9.41	34.23	46.44	53.51	64.63
125	Malaga, Spain	57.23	21.19	39.85	48.93	55.28	94.71
126	Funchal, Portugal	57.00	17.91	38.15	47.03	44.30	52.72
127	Tartu, Estonia	55.49	14.44	35.69	42.41	55.70	75.23
128	Porto, Portugal	54.92	20.87	38.50	45.79	44.12	63.31
129	Riga, Latvia	54.87	15.23	35.75	42.56	51.15	53.77
130	Coimbra, Portugal	54.50	14.58	35.25	46.39	42.38	75.56
131	Granada, Spain	54.47	14.90	35.39	44.63	51.02	94.61
132	Vilnius, Lithuania	54.26	17.90	36.72	42.58	49.97	56.97
133	Prague, Czech Republic	53.84	25.06	39.96	47.04	40.31	77.13
134	Bratislava, Slovakia	53.64	22.87	38.80	46.54	44.37	72.75
135	Santa Cruz De Tenerife, Spain	53.34	18.05	36.32	44.56	53.88	93.75
136	Las Palmas, Spain	52.71	20.09	36.98	44.95	51.06	84.11
137	Kaunas, Lithuania	52.56	12.38	33.19	41.09	45.84	57.97
138	Klaipeda, Lithuania	52.09	11.61	32.57	43.52	46.60	58.53
139	Moscow, Russia	51.82	34.10	43.27	40.90	56.03	59.58
140	Braga, Portugal	51.43	12.28	32.55	42.67	36.90	71.62
141	Kosice, Slovakia	51.36	16.16	34.38	44.97	33.36	61.62
142	Budapest, Hungary	51.00	18.08	35.12	40.71	40.43	55.54
143	Brno, Czech Republic	50.29	19.26	35.32	44.77	34.98	73.86
144	Osijek, Croatia	49.04	8.14	29.32	40.85	36.36	58.44
145	Gdansk, Poland	49.01	17.80	33.96	36.86	40.96	72.77
146	Warsaw, Poland	48.31	22.50	35.86	38.53	42.20	77.31
147	Gdynia, Poland	47.86	14.60	31.82	38.15	43.91	72.98
148	Saint Petersburg, Russia	46.41	20.17	33.75	38.12	47.73	56.75
149	Wroclaw, Poland	46.27	19.64	33.43	38.06	39.12	74.19
150	Olomouc, Czech Republic	45.99	13.01	30.08	43.34	31.60	79.50
151	Krakow (Cracow), Poland	45.79	18.18	32.48	36.66	38.32	73.59
152	Poznan, Poland	45.27	15.45	30.89	37.57	37.54	74.63
153	Debrecen, Hungary	44.92	10.34	28.24	37.81	33.04	48.52
154	Bydgoszcz, Poland	44.91	15.10	30.53	35.24	37.73	66.01
155	Ostrava, Czech Republic	44.78	10.73	28.36	38.89	32.47	78.36
156	Podgorica, Montenegro	44.68	11.10	28.48	35.64	37.75	51.80
157	Szczecin, Poland	44.61	12.73	29.23	35.91	34.70	60.33
158	Bucharest, Romania	44.38	14.00	29.73	36.60	40.58	58.75
159	Belgrade, Serbia	43.99	12.28	28.70	32.31	38.34	40.25
160	Lodz, Poland	43.68	12.79	28.78	34.02	36.68	70.09
161	Sofia, Bulgaria	43.11	12.96	28.57	37.06	34.44	60.66
162	Sarajevo, Bosnia And Herzegovina	42.50	10.13	26.89	35.37	31.50	48.89
163	Lublin, Poland	42.33	18.04	30.62	34.52	34.11	57.02
164	Katowice, Poland	42.28	12.37	27.86	34.17	32.56	81.77
165	Varna, Bulgaria	42.26	8.71	26.08	37.66	34.85	48.43
166	Yekaterinburg, Russia	42.05	12.40	27.75	37.86	36.08	52.61
167	Timisoara, Romania	41.62	10.78	26.75	34.26	36.97	59.09
168	Burgas, Bulgaria	40.81	7.29	24.65	35.83	33.58	50.53
169	Cluj-Napoca, Romania	40.51	13.60	27.54	34.70	33.06	59.81
170	Plovdiv, Bulgaria	40.29	7.65	24.55	35.49	33.10	54.98
171	Novosibirsk, Russia	39.86	12.16	26.50	35.77	34.90	47.89
172	Banja Luka, Bosnia And Herzegovina	39.85	7.77	24.38	32.73	28.97	51.24
173	Nizhny Novgorod, Russia	39.83	11.38	26.11	35.11	37.77	40.34
174	Iasi, Romania	39.81	10.55	25.70	33.52	34.64	51.29
175	Kazan, Russia	39.53	12.81	26.64	33.82	43.81	51.14
176	Sibiu, Romania	39.50	8.46	24.53	32.76	33.38	54.27
177	Tirana, Albania	39.33	9.96	25.17	31.79	32.05	38.05
178	Rostov-na-donu, Russia	39.10	12.21	26.13	31.64	41.73	35.31
179	Oradea, Romania	38.94	7.42	23.74	32.85	25.94	46.65
180	Novi Sad, Serbia	38.90	7.47	23.74	31.20	28.89	48.41
181	Skopje, Macedonia	38.51	9.26	24.40	30.70	29.14	41.99
182	Brasov, Romania	38.37	9.96	24.67	31.40	33.82	67.91
183	Nis, Serbia	37.32	5.73	22.09	29.67	30.85	38.68
184	Arad, Romania	36.47	9.22	23.33	30.52	28.55	60.77
185	Minsk, Belarus	35.30	11.25	23.71	28.55	38.12	43.77
186	Craiova, Romania	34.34	6.84	21.07	28.61	25.41	58.56
187	Chisinau, Moldova	34.06	9.35	22.14	27.64	25.50	31.39
188	Odesa, Ukraine	29.79	10.23	20.36	22.29	24.04	27.73
189	Pristina, Kosovo (Disputed Territory)	29.25	9.38	19.67	25.97	22.78	64.57
190	Kiev, Ukraine	27.52	12.43	20.24	21.96	22.01	37.48
191	Dnipropetrovsk, Ukraine	26.39	6.63	16.86	20.46	22.74	31.06
192	Lviv, Ukraine	25.31	8.10	17.01	20.50	17.88	26.88
193	Kharkiv, Ukraine	24.85	8.29	16.87	19.26	18.44	27.19
